ablehnen,reject
sich anmelden,register
sich anpassen,adapt to
auffordern,challenge
die Aufgabe,task
jdn. auf etw. aufmerksam machen,make so aware of
der Beauftragte,representative
beeintraechtigen,impede
der Begriff,concept
jdm. Beistand leisten,give support to
benachteiligt,disadvantaged
beruecksichtigen,take into accout
bestrafen,punish
betreffen,affect
betreuen,care
beurteilen,judge
ein brandaktuelles Problem,a burning issue
ehrenamtlich,voluntary
der Einheimische,local person
sich einig sein,be in agreement
der Entscheidungsprozess,decision-making process
ernst nehmen,take seriously
das Flugblatt,leaflet
fordern,demand
foerdern,encourage
gewaehrleisten,guarantee
die Gewalt,violence
gezielt,targeted
der Gleichaltrige,peer
das Handlungsfeld,sphere of activity
Huerden abbauen,reduce obstacles
investieren,invest
ein Lippenbekenntnis ablegen,pay lip-service
lobenswert,praiseworthy
Loesungen suchen,look for solutions
Massnahmen,steps/measures
der Missbrauch,abuse
mitarbeiten bei,work together on
mitbestimmen bei,have an influence on
mitgestalten,help to create
mitwirken an,be involved in
parteiunabhaengig,independent (ab)
parteilos,independent (los)
in die Praxis umsetzen,put into practice
der Querschnitt,cross-section
der Schwerpunkt,emphasis
die Sitzung,meeting
die Stadtverwaltung,town council
der Taeter,culprit
die Teilhabe,participation
die Veranstaltung,event
die Vernunft,common sense
die Verpflichtung,responsibility
verwirklichen,fulfil
verzichten auf,go without
die Vorherrschaft,dominance
der Zugang,accesss
das Zugestaendnis ,concession
